# ----------------------------------------
# rebeccaminkoff.com
# Channels
# 20160209-20171108
# ----------------------------------------

Source / Medium,Date,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
Rebecca Minkoff Newsletter / email,20160510,"83,139",18.36%,"15,261",14.82%,4.58,00:05:35,1.29%,"1,069","$177,551.74"
ls / affiliate,20170112,"57,762",45.00%,"25,991",20.45%,6.09,00:06:26,3.33%,"1,921","$202,285.11"
Rebecca Minkoff Newsletter / email,20160514,"54,754",14.25%,"7,800",16.16%,3.03,00:02:38,0.67%,368,"$64,058.32"
ls / affiliate,20161123,"51,071",49.74%,"25,401",12.28%,5.86,00:06:18,2.72%,"1,387","$219,064.10"
Rebecca Minkoff Newsletter / email,20160516,"48,596",15.15%,"7,360",18.29%,3.17,00:02:53,1.11%,537,"$91,743.93"
Rebecca Minkoff Newsletter / email,20160515,"47,981",12.12%,"5,817",17.96%,3.18,00:02:48,0.80%,384,"$67,705.85"
bm23 / email,20161025,"45,737",31.64%,"14,469",21.25%,5.98,00:05:45,1.44%,660,"$103,577.40"
ls / affiliate,20161025,"42,504",54.10%,"22,995",30.21%,4.41,00:04:15,1.69%,718,"$111,575.85"
Rebecca Minkoff Newsletter / email,20160512,"42,497",12.68%,"5,390",16.18%,3.64,00:03:27,1.06%,450,"$79,505.85"
ls / affiliate,20170510,"40,480",54.20%,"21,939",23.22%,2.82,00:02:19,1.39%,562,"$90,693.78"
ls / affiliate,20171024,"36,526",74.16%,"27,086",51.02%,2.83,00:02:56,1.60%,583,"$94,548.74"
(direct) / (none),20171024,"35,634",79.44%,"28,306",34.57%,4.75,00:05:27,1.99%,710,"$111,783.63"
bm23 / email,20171024,"35,421",48.52%,"17,186",35.74%,3.53,00:04:49,1.00%,355,"$58,321.62"
ls / affiliate,20161026,"33,306",50.65%,"16,869",31.23%,4.50,00:04:35,2.46%,819,"$125,800.42"
facebook / paidsocial,20160510,"31,894",39.54%,"12,610",10.96%,5.17,00:05:18,0.80%,256,"$43,318.08"
ls / affiliate,20161124,"31,869",48.06%,"15,316",13.99%,5.79,00:06:38,3.57%,"1,139","$181,097.73"
(direct) / (none),20171025,"31,055",74.51%,"23,140",37.07%,4.61,00:05:14,2.15%,667,"$114,874.99"
Rebecca Minkoff Newsletter / email,20160525,"30,815",11.94%,"3,678",15.17%,3.37,00:03:11,0.66%,203,"$29,244.64"
(direct) / (none),20171026,"30,415",74.45%,"22,645",37.15%,4.47,00:04:59,1.69%,513,"$87,486.40"
bm23 / email,20170509,"30,352",29.01%,"8,805",22.71%,6.59,00:06:53,1.73%,526,"$90,945.60"
ls / affiliate,20161125,"29,853",49.58%,"14,802",12.32%,5.56,00:05:57,4.50%,"1,342","$211,479.22"
ls / affiliate,20170113,"29,653",50.65%,"15,018",22.20%,5.17,00:05:04,2.69%,798,"$71,881.04"
bm23 / email,20170510,"28,706",31.99%,"9,184",25.88%,5.45,00:05:19,1.38%,395,"$58,744.38"
bm23 / email,20160928,"28,682",30.19%,"8,659",27.07%,4.72,00:04:25,0.85%,243,"$43,123.02"
Facebook / paidsocial,20170510,"28,260",36.62%,"10,349",23.57%,5.48,00:04:52,1.07%,303,"$50,407.24"
ls / affiliate,20170509,"28,095",58.31%,"16,382",25.68%,4.26,00:04:18,2.16%,606,"$90,607.98"
bm23 / email,20170809,"27,974",26.68%,"7,464",24.94%,5.91,00:05:40,1.57%,439,"$65,581.70"
bm23 / email,20160727,"27,513",25.56%,"7,031",22.73%,6.02,00:06:20,1.73%,475,"$67,740.98"
(direct) / (none),20171027,"26,121",74.12%,"19,362",39.52%,4.22,00:04:34,1.72%,450,"$77,918.02"
