utm_campaign_name,marketing_event_type,marketing_event_target,orders,total_sales
Newsletter Header,,,311,74766.50
JC - Brand (Exact),,,246,60228.10
d88e0068ad-EMAIL_CAMPAIGN_2017_08_24_FLASH_Sale,newsletter,,243,39055.00
6232ce8d8d-EMAIL_CAMPAIGN_2017_08_17_FLASH,newsletter,,212,34179.00
6339d10278-EMAIL_CAMPAIGN_2017_08_10_FLASH,newsletter,,208,33536.00
Newsletter,,,139,33121.20
remarketing,,,116,26444.80
JC - Brand - Dresses (Exact),,,95,23764.20
11.17.16 newsletter shop friends ,,,135,22947.50
02.16.17 newsletter shop 50% off,,,118,21297.40
July_13_2017_Newsletter_Flash_Shop_Now_Button,,,103,20482.40
a27e9ddb1f-EMAIL_CAMPAIGN_2017_08_28_EOS_Sale,newsletter,,117,20026.50
1b1a928cda-EMAIL_CAMPAIGN_2017_09_25_EOS_Final,newsletter,,124,17822.50
8d87ae1076-EMAIL_CAMPAIGN_2017_10_23_Flash Sale,newsletter,,107,15904.00
october2017,,,84,15722.40
03.30.17 newsletter flash sale,,,75,14120.40
23d221e739-EMAIL_CAMPAIGN_2017_09_28,newsletter,,84,11499.10
71b5d8cb25-EMAIL_CAMPAIGN_2017_09_21_EOS,newsletter,,69,11243.00
10.24.16 newsletter megan flash sale,,,57,10785.00
c1d0e0edca-06_15 Shop the Fourth,,,39,10672.60
16a6cf64f4-EMAIL_CAMPAIGN_2017_08_24,newsletter,,63,10200.00
June_27_2017_newsletter_Free-Shipping,,,34,9758.50
4d2953ef3e-EMAIL_CAMPAIGN_2017_08_31,newsletter,,57,9616.20
01.19.17 newsletter shop sale,,,41,8409.00
6339d10278-EMAIL_CAMPAIGN_2017_08_10_FLASH,,,45,8197.60
6232ce8d8d-EMAIL_CAMPAIGN_2017_08_17_FLASH,,,42,8020.00
d75e9ce8c9-EMAIL_CAMPAIGN_2017_09_26,newsletter,,26,7421.40
e20b763f2e-EMAIL_CAMPAIGN_2017_09_14_A,newsletter,,41,7361.00
57d44fdb0c-EMAIL_CAMPAIGN_2017_10_26,newsletter,,21,7261.40
49be9cc29a-EMAIL_CAMPAIGN_2017_10_26,newsletter,,30,7066.00
c860750f76-New Subscriber Welcome Automation,,,33,6976.90
04.06.2017_Launch_New Arrivals,,,38,6834.00
d88e0068ad-EMAIL_CAMPAIGN_2017_08_24_FLASH_Sale,,,35,6458.00
8af7883762-EMAIL_CAMPAIGN_2017_09_14,newsletter,,25,6341.10
c78cfb3fd1-EMAIL_CAMPAIGN_2017_09_05,newsletter,,36,6277.00
02.09.17 newsletter shop feb,,,24,6216.40
11.17.16 newsletter shop final sale dresses,,,41,6137.70
11.28.16 newsletter shop cyber monday,,,45,6125.60
11.21.16 newsletter shop friends ,,,37,6115.00
Main Navigation_Dresses,,,25,6062.00
03.09.17 newsletter shop spring looks,,,15,6011.00
June_24_2017_newsletter_Skort,,,19,5904.80
04.13.2017_Covered for Easter_Dresses,,,26,5796.00
ccf5c5a9f7-EMAIL_CAMPAIGN_2017_06_12,,,19,5555.20
02.27.17 newsletter free returns,,,25,5430.60
05_04_2017_Image_1,,,22,5392.20
11.25.16 newsletter shop sale,,,38,5366.40
a882183140-EMAIL_CAMPAIGN_2017_10_09,newsletter,,19,5272.00
new subscriber email spring homepage,,,24,5265.10
85b381c35a-EMAIL_CAMPAIGN_2017_08_19,newsletter,,21,5233.20
562d093857-EMAIL_CAMPAIGN_2017_10_26,newsletter,,15,5186.00
8d87ae1076-EMAIL_CAMPAIGN_2017_10_23_Flash Sale,,,20,5071.10
02.21.17 newsletter last chance to shop 50% off,,,34,5043.00
July_13_2017_Newsletter_Flash_Button,,,26,4980.20
11.3.16 newsletter shop holiday collection,,,22,4979.00
607d05dc9c-EMAIL_CAMPAIGN_2017_07_31,newsletter,,16,4835.00
684e1ab2ca-EMAIL_CAMPAIGN_2017_08_12,newsletter,,19,4805.00
8207314b4f-EMAIL_CAMPAIGN_2017_06_22,,,19,4780.00
03.23.17 newsletter shop march,,,15,4682.00
02.13.17 newsletter shop sale,,,22,4599.20
10.18.16 - week 3,,,17,4585.50
July_27_2017_Newsletter_Shop_Dresses,,,19,4573.20
02.09.17 newsletter shop sale,,,21,4512.30
04.06.2017_Launch_Dresses,,,10,4497.00
03.02.17 newsletter shop dresses,,,17,4071.20
04.13.2017_Covered for Easter_Judes_Picks,,,13,4062.00
05_11_2017_Newsletter_Image_1,,,17,4061.00
2017,,,18,4024.00
02.02.17 newsletter feb launch,,,17,3935.00
12.1.16 newsletter last chance sale,,,22,3915.40
06_01_Newsletter,,,14,3840.40
03.27.17 newsletter march best sellers,,,15,3760.00
02.09.17 newsletter shop ponte,,,5,3742.40
10.20.16 - week 3,,,15,3710.00
5b87065769-EMAIL_CAMPAIGN_2017_06_26,newsletter,email,10,3706.00
05_11_Lookbook_Second Email,,,22,3650.00
449f2013f1-EMAIL_CAMPAIGN_2017_06_27_Last_minute_looks,,,16,3615.00
04.10.2017_Easter Dressing_Dresses,,,10,3592.00
8753e3dfac-EMAIL_CAMPAIGN_2017_08_21,newsletter,,15,3589.20
01.05.17 newsletter shop new arrivals,,,23,3528.00
adc46a4d3f-EMAIL_CAMPAIGN_2017_10_02,newsletter,,14,3523.40
03.06.17 newsletter shop march,,,14,3494.80
300c57123c-August Launch_08_03,newsletter,,21,3372.60
04.03.17 newsletter shop the taylor,,,16,3324.00
01.05.17 newsletter shop dresses,,,11,3274.00
03.02.17 newsletter march launch,,,13,3264.00
June_08_2017_Newsletter_Dresses,,,9,3244.80
10.13.16 - week 2,,,13,3211.50
727602daa2-EMAIL_CAMPAIGN_2017_09_07_Launch,newsletter,,14,3209.10
1b1a928cda-EMAIL_CAMPAIGN_2017_09_25_EOS_Final,,,19,3205.60
04.13.2017_Covered for Easter_Kate,,,12,3187.00
06_1_Newsletter_Image_1_Launch,,,6,3178.00
04.13.2017_Covered for Easter_Collection,,,16,3173.00
16a6cf64f4-EMAIL_CAMPAIGN_2017_08_24,,,17,3159.00
FB_Homepage,,,20,3144.20
676cfc0b6d-06.10.17 Summer Dressing,,,14,3143.00
July_15_2017_Newsletter_Tunics,,,14,3128.00
6300d547a2-EMAIL_CAMPAIGN_2017_11_06,newsletter,,11,3065.20
11.21.16 newsletter shop final sale dresses,,,17,3058.00
02.16.17,,,10,3009.00
15607d31cf-EMAIL_CAMPAIGN_2017_08_26_Cold_Shoulder,newsletter,,12,2983.20
New Subscriber Header,,,10,2941.20
05_04_2017_Image_2,,,11,2938.00
1651c47bf3-06.12.17 Summer Dressing Newsletter,,,12,2858.00
11.14.16 newsletter shop premier ponte,,,17,2840.20
48f17a1319-EMAIL_CAMPAIGN_2017_10_19_NEW,newsletter,,9,2826.00
01.30.17 newsletter shop ponte,,,16,2805.00
Main Navigation_Arrivals,,,11,2762.60
10.11.16 - Tuesdays most wanted,,,14,2751.00
05_08_2017_Newsletter,,,14,2734.40
Main Navigation_BOTTOMS,,,11,2706.00
c860750f76-New Subscriber Welcome Automation,follow_up,,8,2690.60
July_6_2017_newsletter_Collection,,,10,2688.00
2a2c6d2924-EMAIL_CAMPAIGN_2017_10_16,newsletter,,12,2644.00
July_6_2017_newsletter_Dresses,,,7,2514.00
300c57123c-August Launch_08_03,,,13,2511.00
01.26.17 newsletter shop resort,,,12,2507.00
31657866c6-EMAIL_CAMPAIGN_2017_09_11,newsletter,,15,2500.20
